Week,2019,2020,2021,2022,2023
1,10955,12254,17751,12262,14983
2,12609,14058,18042,13311,17381
3,11860,12990,18676,12776,15804
4,11740,11856,18448,12401,14137
5,11297,11612,17192,11862,13412
6,11660,10986,15354,11558,12672
7,11824,10944,13809,11271,12031
8,11295,10841,12614,11150,11952
9,11044,10816,11592,11225,12049
10,10898,10895,10987,11227,11410
11,10567,11019,10311,10927,12133
12,10402,10645,10045,10745,12052
13,9867,11141,8201,9840,11584
14,10126,16387,9098,10687,10089
15,10291,18516,10438,9919,9978
16,9025,22351,9941,10680,12420
17,10059,21997,9692,12441,12152
18,11207,17953,7986,9941,10143
19,9055,12657,10164,12048,10367
20,10272,14573,9860,11520,11654
21,10284,12288,9628,10860,11111
22,8260,9824,7778,6825,8839
23,10140,10709,10204,11742,10940
24,9445,9976,9459,10844,10700
25,9458,9339,8690,10836,10472
26,9511,8979,8808,10357,10373
27,9062,9140,9752,10232,9736
28,9179,8690,9697,10515,10030
29,9080,8823,9744,10978,9659
30,9112,8891,10135,11013,9684
31,9271,8946,10187,10698,10038
32,9122,8945,10372,10355,9991
33,9093,9392,10013,10982,10063
34,8994,9631,10268,10942,10086
35,8242,9032,8797,8868,8441
36,9695,7739,11035,10753,10168
37,9513,9811,11009,10673,10355
38,9440,9523,10684,8751,10384
39,9517,9634,10510,10960,9979
40,9799,9945,10807,11207,10103
41,9973,9954,11177,11699,10544
42,10156,10534,11308,11938,10388
43,10021,10739,10987,11245,10445
44,10164,10887,11550,11795,
45,10697,11812,12050,11538,
46,10650,12254,12103,11579,
47,10882,12535,11467,11483,
48,10958,12456,11659,11307,
49,10816,12303,11930,11694,
50,11188,12292,12400,12389,
51,11926,13011,13013,14530,
52,7533,11520,8477,9517,
